GLG_Player,GLG_Tm,GLG_Age,GLG_G,GLG_MP,GLG_PER,GLG_TS%,GLG_3PAr,GLG_FTr,GLG_ORB%,GLG_DRB%,GLG_TRB%,GLG_AST%,GLG_STL%,GLG_BLK%,GLG_TOV%,GLG_USG%,GLG_Ws-dum,GLG_OWS,GLG_DWS,GLG_WS,GLG_WS/48,GLG_Bpm-dum,GLG_OBPM,GLG_DBPM,GLG_BPM,GLG_VORP
Player,Tm,Age,G,MP,PER,TS%,3PAr,FTr,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%,Ws-dum,OWS,DWS,WS,WS/48,Bpm-dum,OBPM,DBPM,BPM,VORP
Rodney Coope,MA,23,3,13,4.4,0.000,1.000,0.000,8.7,23.5,16.5,10.0,3.8,0.0,50.0,6.8,,0.0,0.0,0.0,-0.017,,,,,
Matt Costell,IO,23,23,582,19.1,0.576,0.229,0.319,14.3,27.7,21.0,11.6,1.1,5.3,16.7,16.6,,1.0,0.9,1.9,0.153,,,,,
Isaiah Cousin,RE,22,50,1744,15.5,0.524,0.193,0.249,3.2,14.8,9.0,18.3,2.5,0.5,12.5,22.4,,1.0,1.7,2.7,0.075,,,,,
Jaleel Cousin,RE,23,16,225,14.9,0.558,0.000,0.913,9.7,21.4,15.5,1.3,1.3,5.4,14.2,21.2,,0.2,0.3,0.5,0.104,,,,,
Jaleel Cousin,TOT,23,31,383,10.9,0.539,0.000,0.860,9.2,16.7,13.0,1.1,1.2,4.4,16.9,19.3,,0.0,0.4,0.4,0.050,,,,,
Jaleel Cousin,TE,23,15,158,5.3,0.502,0.000,0.763,8.6,10.2,9.4,0.8,1.2,3.0,21.6,16.7,,-0.2,0.1,-0.1,-0.027,,,,,
Chris Crawfor,IO,24,3,50,10.8,0.461,0.478,0.087,2.1,4.2,3.1,36.4,1.9,3.3,22.7,26.2,,-0.1,0.0,-0.1,-0.056,,,,,
Jordan Crawfor,GR,28,37,1103,24.3,0.588,0.409,0.241,1.4,10.5,5.8,21.7,1.9,0.5,8.8,31.3,,3.3,0.7,4.0,0.174,,,,,
Jordon Crawfor,TOT,26,46,987,12.2,0.508,0.260,0.287,1.3,8.6,4.9,18.9,2.4,0.1,14.6,21.2,,0.1,0.8,0.9,0.042,,,,,
Jordon Crawfor,CA,26,15,259,7.0,0.431,0.363,0.220,1.7,8.2,4.9,19.1,3.0,0.0,21.3,20.6,,-0.5,0.3,-0.2,-0.034,,,,,
Player,Tm,Age,G,MP,PER,TS%,3PAr,FTr,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%,Ws-dum,OWS,DWS,WS,WS/48,Bpm-dum,OBPM,DBPM,BPM,VORP
Jordon Crawfor,WE,26,31,728,14.1,0.532,0.227,0.309,1.2,8.7,4.8,18.8,2.1,0.1,12.3,21.4,,0.6,0.5,1.0,0.069,,,,,
