Rk,NBA_Player,Pos,NBA_Age,NBA_Tm,NBA_G,NBA_MP,NBA_PER,NBA_TS%,NBA_3PAr,NBA_FTr,NBA_ORB%,NBA_DRB%,NBA_TRB%,NBA_AST%,NBA_STL%,NBA_BLK%,NBA_TOV%,NBA_USG%,,NBA_OWS,NBA_DWS,NBA_WS,NBA_WS/48,,NBA_OBPM,NBA_DBPM,NBA_BPM,NBA_VORP
74,Jimmy Butler\butleji01,SG,28,MIN,45,1662,23.7,0.589,0.211,0.425,4.4,12.6,8.5,21.0,2.8,1.0,9.5,24.4,,5.5,1.4,6.9,0.200,,4.9,0.3,5.2,3.0
75,Dwight Buycks\buyckdw01,PG,28,DET,12,179,13.3,0.531,0.225,0.163,2.5,11.1,6.6,26.9,1.4,0.5,19.7,26.4,,-0.1,0.2,0.1,0.028,,-2.4,-1.8,-4.2,-0.1
76,Bruno Caboclo\cabocbr01,SF,22,TOR,2,7,-0.1,0.000,1.000,0.000,0.0,15.7,8.0,16.9,7.0,0.0,0.0,12.4,,0.0,0.0,0.0,-0.111,,-6.6,4.3,-2.2,0.0
77,Jose Calderon\caldejo01,PG,36,CLE,34,577,10.3,0.637,0.569,0.176,1.6,8.0,4.9,16.9,1.6,0.0,17.9,10.3,,0.9,0.1,1.0,0.083,,-0.1,-2.0,-2.1,0.0
78,Kentavious Caldwell-Pope\caldwke01,SG,24,LAL,40,1317,12.8,0.536,0.511,0.236,2.6,13.0,7.8,8.8,2.4,0.6,10.0,17.6,,0.9,1.5,2.4,0.087,,0.0,0.4,0.4,0.8
79,Isaiah Canaan\canaais01,PG-SG,26,TOT,17,376,14.3,0.547,0.479,0.355,1.7,10.3,5.9,27.8,1.9,0.2,15.7,18.7,,0.5,0.2,0.7,0.089,,0.8,-2.3,-1.5,0.0
79,Isaiah Canaan\canaais01,SG,26,HOU,1,4,-7.2,0.000,0.000,0.000,0.0,28.6,14.2,0.0,0.0,0.0,0.0,10.8,,0.0,0.0,0.0,-0.228,,-17.0,-4.2,-21.2,0.0
79,Isaiah Canaan\canaais01,PG,26,PHO,16,372,14.5,0.551,0.483,0.358,1.7,10.1,5.8,28.1,1.9,0.2,15.8,18.8,,0.6,0.2,0.7,0.092,,1.0,-2.3,-1.3,0.1
80,Clint Capela\capelca01,C,23,HOU,42,1120,25.4,0.669,0.003,0.386,13.7,32.2,22.9,7.0,1.4,5.5,13.3,20.2,,3.7,2.0,5.6,0.242,,0.6,2.6,3.3,1.5
81,DeMarre Carroll\carrode01,SF,31,BRK,44,1285,14.6,0.537,0.479,0.327,6.0,18.5,12.2,10.2,1.5,0.9,10.2,19.9,,1.4,1.4,2.7,0.101,,0.4,0.3,0.7,0.9
82,Vince Carter\cartevi01,SF,41,SAC,29,472,11.3,0.494,0.551,0.118,1.9,11.8,6.7,10.1,2.7,3.8,7.6,13.8,,0.2,0.4,0.6,0.059,,-1.4,1.2,-0.2,0.2
83,Michael Carter-Williams\cartemi01,PG,26,CHO,36,564,9.6,0.431,0.234,0.440,5.2,13.1,9.1,20.0,2.2,2.2,18.8,15.9,,-0.3,0.8,0.5,0.043,,-3.4,2.2,-1.1,0.1
84,Alex Caruso\carusal01,PG,23,LAL,17,223,7.6,0.505,0.268,0.195,2.4,8.2,5.2,17.3,1.7,0.4,21.2,10.7,,0.0,0.2,0.2,0.042,,-3.8,-0.6,-4.4,-0.1
85,Omri Casspi\casspom01,SF,29,GSW,37,594,16.6,0.661,0.111,0.340,4.7,23.1,14.7,9.5,1.2,2.4,13.1,15.8,,1.2,0.8,2.0,0.166,,-0.4,0.5,0.1,0.3
86,Willie Cauley-Stein\caulewi01,C,24,SAC,45,1226,17.6,0.526,0.024,0.331,7.0,22.0,14.2,13.4,1.9,3.2,11.2,21.8,,1.0,1.2,2.1,0.084,,-1.4,1.3,-0.1,0.6
